id_buku;isbn;title;penulis_full;tempat;penerbit;year;sinta_id;_sys_date_processed;category;nama_versi_kepegawaian;nama_versi_akademik;jenis_pegawai;jurusan;fakultas
38569;9786025022128;KIMIA 1;Taslim Ersam...[et al.];Surabaya;Media Bersaudara, CV;2018;5980069;2022-11-10 00:07:24;buku ajar;Herdayanto Sulistyo Putro, S.Si., M.Si.;Herdayanto Sulistyo Putro, S.Si., M.Si.;Dosen;Kimia;Fakultas Sains dan Analitika Data
94142;9786233180092;Perencanaan struktur gedung tinggi dengan outrigger dan belt-truss;Muhammad Sigit Darmawan, Yuyun Tajunnisa, Kohar Yudoprasetyo;Surabaya;ITS Press;2021;5980589;2022-11-10 00:07:24;;Prof. Ir. Muhammad Sigit Darmawan, M.Eng.Sc., Ph.D.;Prof. Ir. Muhammad Sigit Darmawan, M.Eng.Sc., Ph.D.;Dosen;D4 Teknik Infrastruktur Sipil;Fakultas Vokasi
94306;9786020917139;Inspeksi dan perkuatan pada bangunan beton akibat korosi;M. Sigit Darmawan;Surabaya;ITS Press;2014;5980589;2022-11-10 00:07:24;;Prof. Ir. Muhammad Sigit Darmawan, M.Eng.Sc., Ph.D.;Prof. Ir. Muhammad Sigit Darmawan, M.Eng.Sc., Ph.D.;Dosen;D4 Teknik Infrastruktur Sipil;Fakultas Vokasi
94305;9786029494839;Pengaruh korosi pada beton bertulang 1;M. Sigit Darmawan, Ridho Bayuaji, Nur Achmad Husin;Surabaya;ITS Press;2013;5980589;2022-11-10 00:07:24;;Prof. Ir. Muhammad Sigit Darmawan, M.Eng.Sc., Ph.D.;Prof. Ir. Muhammad Sigit Darmawan, M.Eng.Sc., Ph.D.;Dosen;D4 Teknik Infrastruktur Sipil;Fakultas Vokasi
16622;9786020917207;Metode statistika menggunakan SAS;Pratnya Paramitha Oktaviana, Shofi Andari;Surabaya;ITS Press;2015;5980984;2022-11-10 00:07:24;;Pratnya Paramitha Oktaviana, S.Si., M.Si.;Pratnya Paramitha Oktaviana, S.Si., M.Si.;Dosen;Aktuaria;Fakultas Sains dan Analitika Data
97918;9786233180115;Kontribusi pemikiran dan solusi pengurangan risiko bencana dan perubahan iklim 2020;penulis, Bangun Muljo Sukojo, et al.;Surabaya;ITS Press;2021;5981694;2022-11-10 00:07:24;;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;Dosen;Teknik Kelautan;Fakultas Teknologi Kelautan
34142;9786021775615;Nearshore aquaculture:  keramba jaring apung tradisional  untuk budidaya ikan dan lobster;"Penyusun, Yeyes Mulyadi...[et al.] ; editor, Nova Maulidina Ashuri";Surabaya;Pusat Studi Kelautan LPPM ITS;2018;5981694;2022-11-10 00:07:24;;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;Dosen;Teknik Kelautan;Fakultas Teknologi Kelautan
31305;9789793592275;Potret Sumberdaya Kelautan di Kawasan Teluk Kupang, Nusa Tenggara Timur;Subiyanto, Armono, H.D, Umar, M.J. Kusuma;Jakarta;Pusat Riset Teknologi Kelautan, Badan Riset Kelaut;2007;5981694;2022-11-10 00:07:24;;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;Dosen;Teknik Kelautan;Fakultas Teknologi Kelautan
97922;9789401001359;Soft Shore Protection: An Environmental Innovation in Coastal Engineering;Constantine Goudas, George Katsiaris, Vincent May, Theophanis Karambas;;Springer, Dordrecht;2003;5981694;2022-11-10 00:07:24;;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;Dosen;Teknik Kelautan;Fakultas Teknologi Kelautan
35681;9795033484;Perencanaan Fasilitas Pantai dan Laut;"Widi Agus Pratikno;Haryo Dwito Armono;Suntoyo";Yogyakarta;BPFE;1997;5981694;2022-11-10 00:07:24;;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.;Dosen;Teknik Kelautan;Fakultas Teknologi Kelautan
